lat,lng,count,,,,
-25.318,130.212,390,,,,
-25.32,130.234,338.6,,,,
-25.308,130.14,353.7,,,,
-25.315,130.206,376.1,,,,
-25.317,130.229,349.1,,,,
-25.321,130.138,378.6,,,,
-25.326,130.182,341,,,,
-25.328,130.205,370.1,,,,
-25.33,130.227,346.3,,,,
-25.319,129.984,342.5,,,,
-25.322,130.005,335.9,,,,
-25.33,130.092,341.2,,,,
-25.335,130.136,345.6,,,,
-25.339,130.181,361,,,,
-25.341,130.203,409.4,,,,
-25.343,130.226,332.4,,,,
-25.339,130.047,339.6,,,,
-25.341,130.069,339.4,,,,
-25.345,130.113,361.6,,,,
-25.348,130.135,365.2,,,,
-25.352,130.179,365.3,,,,
-25.354,130.202,373.7,,,,
-25.352,130.045,351.7,,,,
-25.354,130.067,342.8,,,,
-25.363,130.037,334.8,,,,
-25.365,130.059,332,,,,
-25.719,131.543,336.1,,,,
-25.72,131.536,334.8,,,,
-25.76,129.858,341,,,,
-25.762,129.879,344.4,,,,
-25.703,128.435,334.8,,,,
-25.833,128.361,339.7,,,,
-25.853,128.352,344.1,,,,
-25.864,128.351,339.5,,,,
-26.467,125.786,348.2,,,,
-26.469,125.798,342.4,,,,
-26.477,125.784,358.8,,,,
-26.479,125.796,350,,,,
-26.482,125.747,346.8,,,,
-26.484,125.759,339.3,,,,
-26.815,125.405,348.1,,,,
-26.825,125.404,340.4,,,,
-26.658,124.083,337.9,,,,
-26.659,124.094,369.2,,,,
-26.661,124.104,385,,,,
-26.706,123.06,343.6,,,,
-26.715,123.058,353.9,,,,
-27.23,125.872,364.7,,,,
-27.834,131.897,360.1,,,,
-27.836,131.929,354.2,,,,
-27.849,131.896,375.7,,,,
-27.851,131.928,351.9,,,,
-27.245,125.832,346.8,,,,
-27.246,125.844,357.8,,,,
-27.864,131.894,369.8,,,,
-27.867,131.926,334.9,,,,
-27.861,131.888,363.8,,,,
-27.863,131.92,347.1,,,,
-27.876,131.886,335.9,,,,
-27.996,131.489,332.1,,,,
-28.009,131.457,340.3,,,,
-28.011,131.487,364.9,,,,
-27.717,128.13,358.9,,,,
-27.719,128.147,373.8,,,,
-27.729,128.128,361.9,,,,
-27.731,128.146,396.5,,,,
-27.78,128.602,340.7,,,,
-27.713,128.124,343.3,,,,
-27.714,128.142,362.8,,,,
-27.716,128.159,345,,,,
-28.01,131.48,361.5,,,,
-28.012,131.511,332.8,,,,
-27.724,128.123,338.9,,,,
-27.726,128.14,384.5,,,,
-27.728,128.158,356.3,,,,
-27.738,128.138,374.2,,,,
-27.784,128.595,341.2,,,,
-27.786,128.259,336.8,,,,
-27.89,128.5,357.7,,,,
-27.9,128.48,338.2,,,,
-27.902,128.499,418.3,,,,
-27.904,128.517,375.9,,,,
-27.912,128.478,336.5,,,,
-27.914,128.497,424.2,,,,
-27.916,128.516,374.5,,,,
-28.128,129.746,336.6,,,,
-28.343,129.43,356.5,,,,
-28.345,129.452,337.6,,,,
-28.354,129.406,359.7,,,,
-28.356,129.428,359,,,,
-28.367,129.405,349.8,,,,
